Model,RMSE_Train,RMSE_Test,R2_Train,R2_Test
Ridge,0.020867172275561365,0.02102483143084917,0.3433206092213825,0.34759459174895446
RandomForestRegressor,0.0022330617401063006,0.0024875275818424074,0.9924798302312117,0.9908675286705376
XGBRegressor,0.0025725053443451445,0.0028219571314902275,0.990019811250494,0.9882468756316746
LGBMRegressor,0.002640723630224538,0.0029154327208481307,0.9894834791555206,0.9874553498221753
