Model,RMSE_Train,RMSE_Test,R2_Train,R2_Test
Ridge,0.020926812527171882,0.02000573395535952,0.3397170877357998,0.3521237471619555
RandomForestRegressor,0.0021977479650130242,0.003173554027081199,0.9927175139074906,0.98369672418378
XGBRegressor,0.003200998501138549,0.0033636200291991907,0.9845511971021813,0.9816854208577778
LGBMRegressor,0.0034624456387737615,0.003533705253955967,0.9819245208747474,0.9797863971792751
